leg,pc,rho_in,sw_eq,pc_meas,blocks,capped,step_end
imb,0.003029999999999998,1.00909,0.5055035948753357,0.003148098786671938,40,1,3396000
imb,0.002649999999999998,1.00795,0.5380903482437134,0.0027681191762288226,40,1,3476000
imb,0.0022699999999999977,1.00681,0.5669668912887573,0.002388298511505127,40,1,3556000
imb,0.0018899999999999976,1.00567,0.5957058072090149,0.0020089149475097656,40,1,3636000
imb,0.0015099999999999975,1.00453,0.6318999528884888,0.0016295909881591797,40,1,3716000
imb,0.0011299999999999973,1.00339,0.678757905960083,0.0012515385945637836,40,1,3796000
imb,0.0007499999999999973,1.00225,0.7232881784439087,0.0008701483408609656,40,1,3876000
imb,0.0003699999999999973,1.00111,0.7478779554367065,0.0004967848459879187,40,1,3956000
imb,-1.0000000000002737e-05,0.99997,0.7661638855934143,0.00013063351313274962,40,1,4036000
imb,-0.00039000000000000276,0.99883,0.7683891654014587,-0.00024356444676720823,40,1,4116000
imb,-0.0007700000000000028,0.99769,0.768958330154419,-0.0006200869878133508,40,1,4196000
imb,-0.0011500000000000028,0.99655,0.7692155838012695,-0.00099668900171912,40,1,4276000
imb,-0.0015300000000000027,0.99541,0.7692602276802063,-0.0013729532559713098,40,1,4356000
imb,-0.0019100000000000028,0.99427,0.7691530585289001,-0.0017489194869995117,40,1,4436000
imb,-0.002290000000000003,0.99313,0.7689689993858337,-0.0021241505940755023,40,1,4516000
imb,-0.002670000000000003,0.99199,0.7687504291534424,-0.002498924732208252,40,1,4596000
imb,-0.0030500000000000032,0.99085,0.7685229778289795,-0.002871990203857422,40,1,4676000
