leg,pc,rho_in,sw_eq,pc_meas,blocks,capped,step_end
drain,0.00561,1.01683,0.9750118851661682,0.00586064656575519,5,1,10000
drain,0.00596,1.01788,0.9657837152481079,0.006208459536234556,5,1,20000
drain,0.00631,1.01893,0.9552040100097656,0.00655718644460046,5,1,30000
drain,0.006659999999999999,1.0199799999999999,0.9217427372932434,0.006903807322184208,40,1,110000
drain,0.007009999999999999,1.02103,0.8801010847091675,0.007251898447672489,40,1,190000
drain,0.0073599999999999985,1.02208,0.8710466623306274,0.007601221402486147,40,1,270000
drain,0.007709999999999998,1.02313,0.8405365943908691,0.007950067520141602,40,1,350000
drain,0.007709999999999998,1.02313,0.7710492014884949,0.007950941721598326,40,1,430000
drain,0.008059999999999998,1.02418,0.7477065920829773,0.00830034414927161,40,1,510000
drain,0.008409999999999997,1.02523,0.7105072736740112,0.008648991584777832,40,1,590000
drain,0.008759999999999997,1.02628,0.613799512386322,0.008998990058898926,40,1,670000
drain,0.009109999999999997,1.02733,0.560736894607544,0.00934910774230957,40,1,750000
drain,0.009459999999999996,1.02838,0.45931705832481384,0.009698768456776918,40,1,830000
drain,0.009809999999999996,1.02943,0.37622517347335815,0.01002164681752521,40,1,910000
drain,0.010159999999999995,1.03048,0.3697092533111572,0.010368982950846373,40,1,990000
drain,0.010509999999999995,1.03153,0.366274356842041,0.010714391867319761,40,1,1070000
drain,0.010859999999999995,1.03258,0.36295416951179504,0.011058449745178223,40,1,1150000
drain,0.011209999999999994,1.03363,0.3605297803878784,0.011402010917663574,40,1,1230000
drain,0.011559999999999994,1.03468,0.35617750883102417,0.011746247609456362,40,1,1310000
drain,0.011909999999999994,1.03573,0.3514566719532013,0.012092530727386475,40,1,1390000
drain,0.012259999999999993,1.03678,0.349164217710495,0.012437661488850948,40,1,1470000
drain,0.012609999999999993,1.03783,0.34665414690971375,0.012778679529825865,40,1,1550000
drain,0.012959999999999992,1.03888,0.34355780482292175,0.013127624988555908,40,1,1630000
imb,0.012609999999999993,1.03783,0.3448794484138489,0.012777864933013916,5,1,1640000
imb,0.012259999999999993,1.03678,0.3464891314506531,0.012432515621185303,5,1,1650000
imb,0.011909999999999994,1.03573,0.34840190410614014,0.012084881464640318,5,1,1660000
imb,0.011559999999999994,1.03468,0.350643515586853,0.01174501578013104,5,1,1670000
imb,0.011209999999999994,1.03363,0.35261863470077515,0.011398871739705385,5,1,1680000
imb,0.010859999999999995,1.03258,0.35480716824531555,0.01105278730392456,5,1,1690000
imb,0.010509999999999995,1.03153,0.35753703117370605,0.010708292325337765,5,1,1700000
imb,0.010159999999999995,1.03048,0.3615325391292572,0.0103607177734375,5,1,1710000
imb,0.009809999999999996,1.02943,0.3666034936904907,0.010021189848581913,40,1,1790000
imb,0.009459999999999996,1.02838,0.3685099482536316,0.009673317273457827,40,1,1870000
imb,0.009109999999999997,1.02733,0.3717668354511261,0.009327232837677002,40,1,1950000
imb,0.008759999999999997,1.02628,0.3765939474105835,0.008979260921478271,40,1,2030000
imb,0.008409999999999997,1.02523,0.3827768564224243,0.008630216121673584,40,1,2110000
imb,0.008059999999999998,1.02418,0.39137303829193115,0.008283297220865848,40,1,2190000
imb,0.007709999999999998,1.02313,0.40037715435028076,0.007935583591461182,40,1,2270000
imb,0.0073599999999999985,1.02208,0.4096481204032898,0.007586757342020689,40,1,2350000
imb,0.007009999999999999,1.02103,0.41685619950294495,0.0072395404179890765,40,1,2430000
imb,0.006659999999999999,1.0199799999999999,0.4221074879169464,0.006892840067545591,40,1,2510000
imb,0.00631,1.01893,0.428785502910614,0.006549974282582638,19,0,2548000
imb,0.00596,1.01788,0.4748477339744568,0.006200154622395815,40,1,2628000
imb,0.00561,1.01683,0.5467898845672607,0.005850156148274721,40,1,2708000
imb,0.005260000000000001,1.01578,0.5806356072425842,0.005501747131347656,40,1,2788000
imb,0.004910000000000001,1.01473,0.6196987628936768,0.005152146021525028,40,1,2868000
imb,0.0045600000000000016,1.01368,0.7179115414619446,0.004802445570627867,40,1,2948000
imb,0.004210000000000002,1.01263,0.8163156509399414,0.004452705383300781,40,1,3028000
imb,0.003860000000000002,1.01158,0.8861026763916016,0.004108508427937807,40,1,3108000
imb,0.003510000000000002,1.01053,0.9749573469161987,0.003764788309733036,37,0,3182000
imb,0.0031600000000000018,1.00948,0.983525276184082,0.0034095048904418945,14,0,3210000
imb,0.0028100000000000017,1.00843,0.9855344295501709,0.003059585889180483,40,1,3290000
imb,0.0024600000000000017,1.00738,0.9871499538421631,0.002709190050760868,40,1,3370000
imb,0.0021100000000000016,1.00633,0.9886594414710999,0.0023589531580606726,40,1,3450000
imb,0.0017600000000000016,1.00528,0.9900526404380798,0.0020090341567993164,40,1,3530000
imb,0.0014100000000000015,1.00423,0.9914817214012146,0.0016594131787618371,40,1,3610000
imb,0.0010600000000000015,1.00318,0.993811845779419,0.001310129960378048,40,1,3690000
imb,0.0007100000000000014,1.00213,0.9947978258132935,0.0009618401527404785,40,1,3770000
imb,0.00036000000000000143,1.00108,0.9956017136573792,0.000612795352935791,40,1,3850000
