step,leg,pc,pc_meas,sw,ca_iface,ca_bulk,ca_flux,plate_leak,scrubbed,u_max,m_red,m_blue
0,0.0,0.00561,0.005609830220540346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161431.875,646050.0625
2000,0.0,0.00561,0.005861540635426876,0.9855329394340515,0.005633674934506416,0.0005633590277284384,0.0002811784390360117,1.6221082255185593e-09,0.0,0.036955609917640686,167888.375,642961.0625
4000,0.0,0.00561,0.005861004193623842,0.9820818305015564,0.005425661057233811,0.00045215971767902373,0.00021364756394177676,2.3480849904444767e-06,1.6221080034739543e-09,0.03789421543478966,170091.375,639997.3125
6000,0.0,0.00561,0.005861481030782045,0.9792661070823669,0.005235650017857551,0.00039069391787052157,0.00016989937284961343,2.7960826628259383e-05,2.3497068710742752e-06,0.03760050982236862,171831.3125,637724.5625
8000,0.0,0.00561,0.005861083666483524,0.9769428372383118,0.005087262764573097,0.0003440993838012218,0.0001364396302960813,9.776916704140604e-05,3.0310522585397237e-05,0.03693177551031113,173218.640625,635950.6875
10000,0.0,0.00561,0.00586064656575519,0.9750118851661682,0.004958465695381164,0.000311604025773704,0.0001127651077695191,0.00020804416271857917,0.0001280796969027609,0.036986321210861206,174344.578125,634538.4375
12000,0.0,0.00596,0.006209452946980831,0.9723868370056152,0.004806622490286827,0.0003211982315406203,0.00011985012097284197,0.000348002155078575,0.0003361238159655944,0.03631371259689331,176021.71875,633132.25
14000,0.0,0.00596,0.006209015846252441,0.970540463924408,0.004681775346398354,0.0003020585980266333,0.0001050395774655044,0.0005024798447266221,0.0006841258255250171,0.03591594099998474,177063.0,631909.5
16000,0.0,0.00596,0.006208817164103153,0.9688961505889893,0.00458974651992321,0.00029300758615136147,9.814016520977019e-05,0.000660733669064939,0.001186605786666961,0.03594066947698593,177981.65625,630863.375
18000,0.0,0.00596,0.006208737691243527,0.9673672914505005,0.004520990699529648,0.0002808690536767244,8.712329436093568e-05,0.000815827923361212,0.0018473393393165782,0.03633590415120125,178827.796875,629937.9375
20000,0.0,0.00596,0.006208459536234556,0.9657837152481079,0.0045033786445856094,0.00029170939233154054,8.93092539627105e-05,0.0009648352861404419,0.0026631671462624684,0.03654181584715843,179692.109375,629075.6875
22000,0.0,0.00631,0.006558100382486998,0.96293044090271,0.004419916495680808,0.00034497012384235857,0.00012364269932731986,0.0011174270184710622,0.0036280028398565367,0.03604130819439888,181437.15625,627906.375
24000,0.0,0.00631,0.006557742754618345,0.9606100916862488,0.004364196211099625,0.0003478833008557558,0.00012215919559821486,0.0012611446436494589,0.004745429741912277,0.03604133427143097,182698.6875,626666.6875
26000,0.0,0.00631,0.006557544072469057,0.9585617780685425,0.004208473116159439,0.00031908783130347724,0.00010978131322190166,0.0013937406474724412,0.006006573919900449,0.03773109242320061,183815.90625,625469.9375
28000,0.0,0.00631,0.006557305653890011,0.9567803144454956,0.004098894074559212,0.0003055393230170012,0.00010178667725995182,0.0015129388775676489,0.007400314916618855,0.037709176540374756,184791.515625,624389.5625
30000,0.0,0.00631,0.00655718644460046,0.9552040100097656,0.004030274599790573,0.0002852853387594223,8.94091441296041e-05,0.001620204420760274,0.008913253794186504,0.03747641667723656,185655.484375,623429.625
32000,0.0,0.006659999999999999,0.006906946500142452,0.9526312947273254,0.003948110714554786,0.00031221327371895314,0.00011052489280700683,0.0017318098107352853,0.010533458447777422,0.0404898039996624,187253.453125,622287.625
34000,0.0,0.006659999999999999,0.006906986236572266,0.9507719874382019,0.003905537724494934,0.00030468676704913377,0.00010471421992406248,0.0018289495492354035,0.012265268724173994,0.04092716425657272,188270.78125,621193.1875
36000,0.0,0.006659999999999999,0.006906787554423033,0.949005126953125,0.0038778863847255705,0.0003014430869370699,0.00010203243000432849,0.0019166400888934731,0.014094218273409398,0.039734601974487305,189234.25,620182.875
38000,0.0,0.006659999999999999,0.006906827290852902,0.947258710861206,0.0038502763956785205,0.0002996907802298665,0.000101190444547683,0.0019963367376476526,0.01601085836230287,0.04390055686235428,190185.296875,619224.1875
40000,0.0,0.006659999999999999,0.006906827290852902,0.9452731013298035,0.003845612704753876,0.0003239622106775641,0.00011510952608659863,0.0020719394087791443,0.018007195798442455,0.04365074634552002,191264.28125,618256.625
42000,0.0,0.006659999999999999,0.006906668345133482,0.9432951807975769,0.0038133889436721803,0.00030875974334776396,0.0001024486729875207,0.0021441171411424875,0.02007913660420546,0.0436396524310112,192335.21875,617200.5625
44000,0.0,0.006659999999999999,0.006906469662984249,0.9416446685791016,0.003787903487682343,0.000293895392678678,9.290690650232136e-05,0.00220355368219316,0.022223254676670523,0.04371918365359306,193229.921875,616218.875
46000,0.0,0.006659999999999999,0.006906270980834961,0.9401379823684692,0.00375240221619606,0.0002786495257169008,8.376609184779227e-05,0.0022543638478964567,0.024426807660371752,0.04340845346450806,194048.65625,615332.75
48000,0.0,0.006659999999999999,0.006905992825826046,0.938686192035675,0.003752210736274719,0.00027538242284208536,8.261746261268854e-05,0.0022990747820585966,0.026681173370913358,0.042095743119716644,194837.578125,614520.5625
50000,0.0,0.006659999999999999,0.006905913352966309,0.9372895359992981,0.0037073444575071333,0.00026243554893881085,7.123533869162202e-05,0.002341028768569231,0.02898024792014131,0.04118353873491287,195595.859375,613729.9375
52000,0.0,0.006659999999999999,0.006905595461527525,0.9361721277236938,0.0036757148802280424,0.00025664453860372303,6.674465257674455e-05,0.00237533007748425,0.03132127575738797,0.04049455747008324,196203.09375,613030.5625
54000,0.0,0.006659999999999999,0.006905674934387207,0.935160219669342,0.0036563564091920855,0.00023884274996817113,5.731534329243005e-05,0.0024067475460469723,0.03369660490354964,0.04276689141988754,196753.71875,612415.5
56000,0.0,0.006659999999999999,0.0069052775700887414,0.9342348575592041,0.0036375969648361206,0.00022731502540409564,5.1139586139470333e-05,0.0024359622038900852,0.03610335338091919,0.040692541748285294,197256.609375,611861.125
58000,0.0,0.006659999999999999,0.0069052775700887414,0.9333869814872742,0.00361744724214077,0.0002267432864755392,5.060567054897547e-05,0.0024633684661239386,0.038539314886317344,0.040162842720746994,197717.828125,611363.0625
60000,0.0,0.006659999999999999,0.006905198097229004,0.932604193687439,0.003607764467597008,0.00023926643189042807,5.187775823287666e-05,0.002488723024725914,0.04100268381810257,0.04016907140612602,198143.34375,610907.125
62000,0.0,0.006659999999999999,0.006905237833658817,0.9318763017654419,0.0035920366644859314,0.00023529850877821446,4.904328379780054e-05,0.0025122296065092087,0.043491406842828484,0.04016914591193199,198539.015625,610487.4375
64000,0.0,0.006659999999999999,0.006904959678649902,0.9311891198158264,0.0035891324281692506,0.0002284639282152057,4.625938599929213e-05,0.0025341534055769444,0.04600363691499898,0.038729555904865265,198912.25,610096.1875
66000,0.0,0.006659999999999999,0.006904880205790165,0.930514931678772,0.0036085028201341624,0.00022578106727451084,4.428511892911047e-05,0.002554786391556263,0.04853779078623721,0.03872383385896683,199278.703125,609723.5625
68000,0.0,0.006659999999999999,0.006904800732930483,0.9298533797264099,0.0036334816366434095,0.0002233137609437108,4.323664761614054e-05,0.0025742717552930117,0.05109257671213219,0.0386350080370903,199638.09375,609363.1875
70000,0.0,0.006659999999999999,0.006904641787211063,0.9290129542350769,0.0036544822156429294,0.00025372030213475225,5.506832967512309e-05,0.0025946423411369324,0.053666848933086486,0.03847524896264076,200091.0625,608991.5625
72000,0.0,0.006659999999999999,0.006904641787211119,0.9280657172203064,0.003596790134906769,0.00024472190998494627,4.89407975692302e-05,0.002618946135044098,0.05626149080856213,0.03773833438754082,200608.90625,608507.6875
74000,0.0,0.006659999999999999,0.006904681523640932,0.9272561073303223,0.0035913679748773575,0.00023383700754493473,4.7495125909335914e-05,0.002638837555423379,0.05888043694360623,0.037598323076963425,201050.25,608046.0
76000,0.0,0.006659999999999999,0.006904641787211063,0.9265341758728027,0.003583211824297905,0.00022336167749017476,4.3137956527061764e-05,0.0026529792230576277,0.06151927543035218,0.037575043737888336,201442.859375,607620.375
78000,0.0,0.006659999999999999,0.00690460205078125,0.9259220361709595,0.003572070226073265,0.00021949135698378088,3.727063594851643e-05,0.0026603881269693375,0.06417225255793402,0.037569496780633926,201774.875,607247.5625
80000,0.0,0.006659999999999999,0.00690460205078125,0.9253979921340942,0.0035587307065725322,0.00020534198265522718,3.030596999451518e-05,0.002664190949872136,0.06683263998641142,0.03753668814897537,202058.25,606927.4375
82000,0.0,0.006659999999999999,0.0069045225779215125,0.9249435663223267,0.0035482045263051983,0.00019782236777245998,2.657627046573907e-05,0.002666688524186611,0.06949683093628356,0.03753678873181343,202303.703125,606655.1875
84000,0.0,0.006659999999999999,0.0069044431050618305,0.9245244860649109,0.003538434952497482,0.0001955866115167737,2.5050388649106024e-05,0.002668239176273346,0.07216352039179275,0.03756938874721527,202530.03125,606406.125
86000,0.0,0.006659999999999999,0.0069044431050618305,0.9241502285003662,0.003540033847093582,0.00019653881900012492,2.4594762362539768e-05,0.002670186571776867,0.07483175886957416,0.03756944462656975,202732.765625,606189.9375
88000,0.0,0.006659999999999999,0.006904403368631962,0.9237796068191528,0.0035511262714862826,0.00019963446538895369,2.5515907327644528e-05,0.00267326389439404,0.07750194404436717,0.03756950795650482,202933.625,605987.0
90000,0.0,0.006659999999999999,0.00690432389577228,0.9234104156494141,0.0035485852509737014,0.0002011242089793086,2.5018752785399554e-05,0.0026779999025166035,0.08017520724026928,0.03756942227482796,203133.4375,605785.75
92000,0.0,0.006659999999999999,0.006904085477193178,0.9230886697769165,0.003537833318114281,0.0002066587563604116,2.517149841878563e-05,0.0026829366106539965,0.08285320714278588,0.037569496780633926,203306.953125,605597.5625
94000,0.0,0.006659999999999999,0.006904045740763309,0.9228280186653137,0.003535239025950432,0.00021620409097522494,2.6062483084388073e-05,0.0026883597020059824,0.08553614258928666,0.037569448351860046,203447.8125,605441.625
96000,0.0,0.006659999999999999,0.006904045740763309,0.9226028323173523,0.0035307131707668304,0.00021951266098767518,2.5834652478806675e-05,0.0026940149255096912,0.08822450252412328,0.03756940737366676,203569.34375,605306.6875
98000,0.0,0.006659999999999999,0.0069039265314737586,0.9224095940589905,0.0035301614552736282,0.00022432126570492983,2.4530195514671504e-05,0.002699716482311487,0.09091851838095555,0.03756940737366676,203674.0,605191.1875
100000,0.0,0.006659999999999999,0.006903886795043945,0.922248899936676,0.0035308916121721268,0.0002175641944631934,2.255070867249742e-05,0.002705286256968975,0.09361823579458961,0.03753677010536194,203761.0625,605095.5
102000,0.0,0.006659999999999999,0.006903886795043945,0.922112226486206,0.003527730703353882,0.00020239942241460083,1.986059360206127e-05,0.0027104788459837437,0.09632352205155859,0.037569478154182434,203835.046875,605014.5
104000,0.0,0.006659999999999999,0.006903886795043945,0.9220004081726074,0.0035256732255220416,0.00019262533169239757,1.672881917329505e-05,0.002715200884267688,0.0990340001990504,0.03756945580244064,203895.578125,604948.0625
106000,0.0,0.006659999999999999,0.0069038470586140765,0.9219034910202026,0.0035231951624155045,0.00018664458766579629,1.4164985623210669e-05,0.002719378098845482,0.10174920131614873,0.03753662109375,203948.0625,604890.3125
108000,0.0,0.006659999999999999,0.0069038470586140765,0.9218184351921082,0.0035234406590461727,0.00018326067365705966,1.2334247003309429e-05,0.0027235611341893673,0.10446857941499421,0.03754217550158501,203994.328125,604839.125
110000,0.0,0.006659999999999999,0.006903807322184208,0.9217427372932434,0.0035233423113822937,0.0001813257928006351,1.114777769544162e-05,0.0027282231021672487,0.10719214008352229,0.03754228353500366,204035.46875,604794.0625
112000,0.0,0.007009999999999999,0.007253487904866518,0.9204647541046143,0.0035221621394157412,0.00024004210717976093,4.98551526106894e-05,0.0027577183209359646,0.10992036411701211,0.037536587566137314,204927.671875,604431.875
114000,0.0,0.007009999999999999,0.007253328959147098,0.919787585735321,0.003507518768310547,0.00023603660520166156,4.4758408330380915e-05,0.002774094929918647,0.1126780815066255,0.037503890693187714,205293.59375,604037.375
116000,0.0,0.007009999999999999,0.007253249486287416,0.9191585183143616,0.0034940537065267564,0.000225965678691864,3.942644689232111e-05,0.0027861434500664473,0.11545217736786673,0.03753666207194328,205633.46875,603675.8125
118000,0.0,0.007009999999999999,0.007253050804138184,0.918559730052948,0.003483420982956886,0.00022041222546249626,3.644298994913697e-05,0.0027957207057625055,0.11823832105076382,0.037536606192588806,205957.53125,603340.0625
120000,0.0,0.007009999999999999,0.007252852121988895,0.9179670214653015,0.003474133834242821,0.00021928169298917054,3.6364587140269576e-05,0.0028027240186929703,0.12103404175652632,0.03753656521439552,206278.0,603014.625
122000,0.0,0.007009999999999999,0.0072527329126993445,0.9173445105552673,0.0034655027091503145,0.0002266421215608716,3.9420602843165394e-05,0.0028088707476854324,0.12383676484389672,0.03753665089607239,206615.8125,602689.625
124000,0.0,0.007009999999999999,0.007252693176269531,0.9166356325149536,0.003471046686172485,0.00023404774256050587,4.527158162090927e-05,0.0028169979341328144,0.12664563442742893,0.0375366136431694,207000.984375,602342.1875
126000,0.0,0.007009999999999999,0.007252772649129213,0.915829062461853,0.0034733593463897702,0.00023428744170814753,4.889940028078854e-05,0.002827111864462495,0.1294626321287311,0.037536606192588806,207439.078125,601946.4375
128000,0.0,0.007009999999999999,0.007252693176269531,0.9149948358535767,0.003477305173873901,0.0002340487204492092,4.9262039829045535e-05,0.002836505649611354,0.13228974259620974,0.037536486983299255,207891.46875,601525.875
130000,0.0,0.007009999999999999,0.0072527329126994,0.9141387939453125,0.0034751962870359417,0.00023369092959910632,4.902545479126274e-05,0.002843859139829874,0.1351262482458211,0.037536539137363434,208355.0,601076.75
132000,0.0,0.007009999999999999,0.007252772649129213,0.9133082628250122,0.0034757066518068314,0.00023291062097996473,4.8040397814475e-05,0.0028489315882325172,0.13797010622149775,0.03750377520918846,208804.65625,600635.5
134000,0.0,0.007009999999999999,0.007252693176269531,0.912501335144043,0.0034640464931726457,0.00023355216253548858,4.786066710948944e-05,0.0028524650260806084,0.14081903780973026,0.0375366173684597,209241.3125,600203.875
136000,0.0,0.007009999999999999,0.007252693176269531,0.9116969108581543,0.00345161035656929,0.0002347951289266348,4.813694104086607e-05,0.002854672959074378,0.1436715019044883,0.03753647953271866,209676.875,599776.4375
138000,0.0,0.007009999999999999,0.0072525739669799805,0.9108740091323853,0.0034371692687273025,0.00023651402443647385,4.909689305350185e-05,0.0028579975478351116,0.14652617416507074,0.03753652796149254,210122.671875,599345.875
140000,0.0,0.007009999999999999,0.0072525739669799805,0.9100030064582825,0.00341791994869709,0.00023996278177946804,5.113641964271664e-05,0.0028620774392038584,0.1493841719457365,0.03750390186905861,210595.359375,598899.0625
142000,0.0,0.007009999999999999,0.007252534230550167,0.9090433120727539,0.003389003500342369,0.00024929193314164876,5.5283424444496625e-05,0.0028668909799307585,0.15224624822078714,0.0375366173684597,211116.296875,598418.375
144000,0.0,0.007009999999999999,0.0072524150212606164,0.907977819442749,0.003367933630943298,0.00027059293352067466,6.368642789311707e-05,0.0028755073435604572,0.15511313896788725,0.037536390125751495,211695.28125,597893.8125
146000,0.0,0.007009999999999999,0.007252295811971066,0.9067546129226685,0.00335133820772171,0.000276440242305398,6.950690294615924e-05,0.0028905796352773905,0.15798864444880256,0.03747877851128578,212361.078125,597306.875
148000,0.0,0.007009999999999999,0.007252375284830748,0.905282735824585,0.0033475004136562345,0.00029366742819547653,8.454167400486767e-05,0.0029121958650648594,0.1608792238512493,0.03744608163833618,213163.171875,596620.8125
150000,0.0,0.007009999999999999,0.00725245475769043,0.9034678936004639,0.003369375690817833,0.00033089902717620134,0.00010601981775835156,0.0029397238977253437,0.16379141948348352,0.03744520619511604,214152.953125,595789.75
