step,leg,pc,pc_meas,sw,ca_iface,ca_bulk,plate_leak,scrubbed,u_max,m_red,m_blue
0,0,0.00561,0.005609869956970215,1.0,0.0,0.0,0.0,0.0,0.0,166597.40625,668290.0625
2000,0,0.00561,0.005641480286916134,0.9849663376808167,0.0058373983949422835,0.0006402310449630022,1.9946260199077415e-09,0.0,0.028627993538975716,174409.8125,664300.5
4000,0,0.00561,0.005635360876719175,0.9806457757949829,0.005564410239458084,0.00048385695554316045,2.922434077845537e-06,1.9946264639969513e-09,0.028852660208940506,176993.96875,660644.625
6000,0,0.00561,0.00563154617945355,0.9774026870727539,0.005339778587222099,0.0003954034298658371,3.578693940653466e-05,2.9244284769358586e-06,0.028888920322060585,178885.890625,658062.875
8000,0,0.00561,0.005629301071166992,0.9749208688735962,0.005172280594706535,0.0003341871779412031,0.00012727786088362336,3.8711367883470515e-05,0.027439499273896217,180314.984375,656186.625
10000,0,0.00561,0.005627791086832701,0.9729759097099304,0.005040134489536286,0.0002939815865829587,0.0002734297595452517,0.00016598922876709388,0.02639196440577507,181426.5625,654775.3125
12000,0,0.00561,0.005626777807871519,0.9714105129241943,0.004935457557439803,0.0002707240870222449,0.0004557533538900316,0.0004394190465200065,0.02629273757338524,182316.703125,653678.875
14000,0,0.00561,0.005626002947489439,0.9701198935508728,0.004846980422735214,0.0002507701748982072,0.0006566132651641965,0.0008951725459291904,0.026209445670247078,183048.203125,652803.9375
16000,0,0.00561,0.005625486373901367,0.9690245985984802,0.004780514165759087,0.0002358659403398633,0.0008629022049717605,0.001551786334962335,0.026058128103613853,183667.453125,652084.25
18000,0,0.00561,0.005625128746032715,0.9680596590042114,0.004738735780119896,0.0002245033159852028,0.00106631382368505,0.0024146884817264347,0.02591668628156185,184211.890625,651474.125
20000,0,0.00561,0.0056248505910238,0.9671384692192078,0.004713195562362671,0.00022818564902991057,0.001262329169549048,0.0034810030039034157,0.025854511186480522,184729.8125,650932.4375
22000,0,0.00561,0.005624731381734249,0.9661691188812256,0.004692326113581657,0.0002325495472177863,0.0014493768103420734,0.004743332755529073,0.025854341685771942,185274.078125,650405.625
24000,0,0.00561,0.0056246121724446985,0.9651141166687012,0.004660174995660782,0.00023695647250860928,0.0016268669860437512,0.006192709565871146,0.025913408026099205,185865.734375,649852.6875
26000,0,0.00561,0.005624453226725279,0.9640206694602966,0.0046155817806720735,0.0002377225086092949,0.0017941482365131378,0.007819576784745541,0.025913530960679054,186478.40625,649267.125
28000,0,0.00561,0.005624334017435728,0.9628797173500061,0.004618813470005989,0.00024450041819363834,0.0019506631651893258,0.009613724788428035,0.02591443806886673,187117.703125,648661.0
30000,0,0.00561,0.005624294281005859,0.9616621732711792,0.0045474633574485775,0.00024651668500155207,0.0020967195741832256,0.01156438853569397,0.025950437411665916,187798.953125,648017.5625
32000,0,0.00561,0.005624175071716309,0.9606150388717651,0.004468376934528351,0.00022752033546566964,0.0022287252359092236,0.013661107644215909,0.025823960080742836,188385.546875,647387.5625
34000,0,0.00561,0.005623976389567076,0.9597295522689819,0.004419427365064621,0.00022075241431593896,0.0023461421951651573,0.01588983334578642,0.025671115145087242,188881.890625,646829.625
36000,0,0.00561,0.0056236982345581055,0.9589818716049194,0.004378402233123779,0.0002187008038163185,0.002450451487675309,0.01823597577378222,0.02547142654657364,189300.96875,646351.4375
38000,0,0.00561,0.0056235392888387414,0.9583472609519958,0.004348666220903396,0.00021778601221740247,0.0025439017917960882,0.02068642795994946,0.025296509265899658,189656.640625,645945.4375
40000,0,0.00561,0.005623340606689453,0.9578080177307129,0.004314378276467324,0.00019482260104268788,0.0026283373590558767,0.023230330217406836,0.025141283869743347,189959.078125,645598.625
42000,0,0.00561,0.005623261133829771,0.957343578338623,0.004297316819429397,0.00018121085595339536,0.0027052024379372597,0.025858668507785287,0.024958761408925056,190218.984375,645302.6875
44000,0,0.007010000000000001,0.007022122542063414,0.9520365595817566,0.004077796638011932,0.0003566418774425983,0.0028661382384598255,0.028563871411383834,0.022891247645020485,193968.578125,643667.4375
46000,0,0.007010000000000001,0.007021307945251465,0.9492351412773132,0.003998474031686783,0.0003381824353709817,0.0029736014548689127,0.031430009882674304,0.022479284554719925,195538.875,641970.375
48000,0,0.007010000000000001,0.007020990053812681,0.9463592767715454,0.00399462953209877,0.0003509431844577193,0.0030699160415679216,0.03440361203603515,0.02201220765709877,197153.234375,640385.3125
50000,0,0.007010000000000001,0.007020910580952999,0.943374752998352,0.003954922035336495,0.00033081842120736833,0.003161204978823662,0.03747352691344985,0.02181311883032322,198826.703125,638724.8125
52000,0,0.007010000000000001,0.00702059268951416,0.9408782124519348,0.00390741191804409,0.0003156346501782536,0.0032298159785568714,0.04063472909830579,0.0218418650329113,200222.46875,637212.375
54000,0,0.007010000000000001,0.007020354270935059,0.9385483264923096,0.00387999452650547,0.0003085374366492033,0.0032868687994778156,0.04386454577535459,0.021830102428793907,201527.3125,635850.3125
56000,0,0.007010000000000001,0.007019996643066406,0.9364610314369202,0.0038101367652416227,0.0002736319787800312,0.0033348025754094124,0.04715141527332434,0.0218171626329422,202693.53125,634575.125
58000,0,0.007010000000000001,0.0070197184880574914,0.9347155690193176,0.003768762946128845,0.00026359201874583956,0.0033695700112730265,0.050486218081564394,0.021797604858875275,203667.828125,633491.5
60000,0,0.007010000000000001,0.007019440333048521,0.933160126209259,0.003738337382674217,0.0002425760729238391,0.0033990037627518177,0.05385578925699064,0.021763315424323082,204536.1875,632544.6875
62000,0,0.007010000000000001,0.0070192813873291016,0.9317741394042969,0.0037187408655881883,0.00023559131659567353,0.003424378577619791,0.0572547932525731,0.02174561284482479,205310.1875,631707.25
64000,0,0.007010000000000001,0.0070191224416097375,0.9304845333099365,0.0037391990423202514,0.00024223024956882,0.003447101917117834,0.06067917113170096,0.02177126519382,206030.8125,630953.625
66000,0,0.007010000000000001,0.0070191224416097375,0.9291340708732605,0.0037379004061222076,0.00025806538760662077,0.003470399882644415,0.06412627351448008,0.021771248430013657,206787.640625,630233.375
68000,0,0.007010000000000001,0.0070191224416097375,0.9275925159454346,0.0036677222698926924,0.0002545366995036602,0.0034994378220289946,0.06759667362995514,0.021790113300085068,207655.0625,629441.25
70000,0,0.007010000000000001,0.007018844286600767,0.9262906312942505,0.003653428703546524,0.00023805461823940278,0.0035227241460233927,0.07109611238330671,0.021802859380841255,208383.78125,628660.8125
72000,0,0.007010000000000001,0.007018764813741085,0.9250658750534058,0.003630992770195007,0.00022231158800423145,0.0035420593339949846,0.07461883769348332,0.021771574392914772,209068.734375,627938.75
74000,0,0.007010000000000001,0.007018566131591797,0.9240332841873169,0.003621505945920944,0.00019846865907311437,0.0035543451085686684,0.07816089656181702,0.021758761256933212,209643.34375,627296.75
76000,0,0.007010000000000001,0.007018407185872433,0.9231407046318054,0.003614472970366478,0.00019189866725355387,0.0035621440038084984,0.08171524143755504,0.02169531211256981,210140.265625,626741.375
78000,0,0.007010000000000001,0.007018327713012695,0.9223726987838745,0.0035955794155597687,0.00019201540853828192,0.0035672341473400593,0.08527738567419418,0.021661242470145226,210567.453125,626264.6875
80000,0,0.007010000000000001,0.0070182085037231445,0.9216949939727783,0.003574483841657639,0.00020224605686962603,0.003571097506210208,0.08884461912304231,0.021651912480592728,210944.59375,625850.5
82000,0,0.007010000000000001,0.0070182085037231445,0.9210838675498962,0.0035670459270477294,0.00018655918538570404,0.003574566449970007,0.09241571639642188,0.021645216271281242,211284.859375,625482.3125
84000,0,0.007010000000000001,0.007018089294433594,0.9205267429351807,0.0035562243312597273,0.00017085663275793195,0.0035788551904261112,0.09599028051808545,0.021620772778987885,211595.375,625153.5625
86000,0,0.007010000000000001,0.007018009821573912,0.9199894666671753,0.0035465195775032043,0.00016355550615116955,0.003584079910069704,0.09956913407869705,0.021609852090477943,211895.328125,624843.5
88000,0,0.007010000000000001,0.0070180495580037805,0.9194622039794922,0.003540501743555069,0.00016290912171825766,0.003589714178815484,0.10315321352310547,0.021586265414953232,212190.359375,624549.75
90000,0,0.007010000000000001,0.007017970085144043,0.9188917875289917,0.0035379685461521147,0.00017310321563854811,0.0035970306489616632,0.10674292816758224,0.02162076160311699,212510.84375,624249.8125
92000,0,0.007010000000000001,0.007018009821573912,0.9182031154632568,0.0035460729151964186,0.00020517532248049976,0.0036084805615246296,0.11033995904937455,0.021637065336108208,212899.09375,623915.125
94000,0,0.007010000000000001,0.0070181290308634625,0.9173980951309204,0.0035536866635084152,0.00020749238319694996,0.0036229947581887245,0.11394843961089918,0.021679401397705078,213352.65625,623517.9375
96000,0,0.007010000000000001,0.007018168767293331,0.9165388345718384,0.003559811040759086,0.00020079838577657938,0.0036367259453982115,0.11757143483474919,0.02168891951441765,213835.375,623072.5625
98000,0,0.007010000000000001,0.007018089294433594,0.9156884551048279,0.003562016412615776,0.00019697677344083787,0.00364676327444613,0.12120816124580869,0.021708127111196518,214311.578125,622605.75
100000,0,0.007010000000000001,0.0070181290308634625,0.9148767590522766,0.0035592626780271528,0.00019563985988497735,0.0036526855546981096,0.12485492382176289,0.021709732711315155,214765.78125,622151.0625
102000,0,0.007010000000000001,0.007018089294433594,0.9140937924385071,0.0035536624491214752,0.000197089952416718,0.0036544594913721085,0.12850760914363035,0.021698780357837677,215203.671875,621709.8125
