step,leg,pc,pc_meas,sw,ca_iface,ca_bulk,plate_leak,scrubbed,u_max,m_red,m_blue
0,0,0.00561,0.005609830220540346,1.0,0.0,0.0,0.0,0.0,0.0,161431.875,646050.0625
2000,0,0.00561,0.005861540635426876,0.9855329394340515,0.005633674934506416,0.0005633590277284384,1.6221082255185593e-09,0.0,0.036955609917640686,167888.375,642961.0625
4000,0,0.00561,0.005861004193623842,0.9820818305015564,0.005425661057233811,0.00045215971767902373,2.3480849904444767e-06,1.6221080034739543e-09,0.03789421543478966,170091.375,639997.3125
6000,0,0.00561,0.005861481030782045,0.9792661070823669,0.005235650017857551,0.00039069391787052157,2.7960826628259383e-05,2.3497068710742752e-06,0.03760050982236862,171831.3125,637724.5625
8000,0,0.00561,0.005861083666483524,0.9769428372383118,0.005087262764573097,0.0003440993838012218,9.776916704140604e-05,3.0310522585397237e-05,0.03693177551031113,173218.640625,635950.6875
10000,0,0.00561,0.00586064656575519,0.9750118851661682,0.004958465695381164,0.000311604025773704,0.00020804416271857917,0.0001280796969027609,0.036986321210861206,174344.578125,634538.4375
12000,0,0.00561,0.005859851837158203,0.9733877182006836,0.004856397211551666,0.00029031450394541026,0.00034488123492337763,0.0003361238159655944,0.036324940621852875,175275.734375,633394.625
14000,0,0.00561,0.0058594544728597375,0.9720070362091064,0.004766423255205154,0.0002645560307428241,0.000494899635668844,0.0006810051964081243,0.036309100687503815,176059.34375,632452.375
16000,0,0.00561,0.005859216054280636,0.9708095192909241,0.0046871621161699295,0.0002568817464634776,0.0006483699544332922,0.00117590494849229,0.036355797201395035,176734.375,631661.625
18000,0,0.00561,0.005858937899271666,0.9697479605674744,0.004633893445134163,0.0002447063336148858,0.0007987676654011011,0.0018242746700949386,0.03594797104597092,177327.828125,630982.6875
20000,0,0.00561,0.005858739217122433,0.9687807559967041,0.004586749151349067,0.00023248400539159774,0.0009423919836990535,0.0026230424519113615,0.03594803437590599,177865.453125,630384.125
22000,0,0.00561,0.005858580271403013,0.9678448438644409,0.004557474702596664,0.00023445417173206806,0.0010777156567201018,0.0035654343191950932,0.03595832735300064,178379.96875,629841.625
24000,0,0.00561,0.005858421325683594,0.9668335318565369,0.0045418418943881985,0.0002451522974297404,0.001205085776746273,0.004643149510253908,0.03596062958240509,178928.890625,629315.3125
26000,0,0.00561,0.005858302116394043,0.9657201170921326,0.0045163601636886595,0.0002527004573494196,0.0013254645746201277,0.005848234704923572,0.03596045449376106,179531.078125,628757.4375
