dataset,domain,name,porosity,r_c,r_star_sw015,d_star_sw015,S_nw_max,seconds,error
castlegate,256,castle256_0026,0.2237,5.091,4.017,8.033,0.8597,113.7,
castlegate,256,castle256_0027,0.2481,5.382,4.031,8.062,0.8615,104.8,
castlegate,256,castle256_0028,0.1815,4.886,2.128,4.255,0.8638,125.2,
castlegate,256,castle256_0029,0.2166,4.237,3.666,7.332,0.884,97.3,
castlegate,256,castle256_0030,0.2502,5.742,4.056,8.111,0.8729,90.7,
castlegate,256,castle256_0031,0.23,5.649,3.135,6.27,0.8746,105.2,
castlegate,256,castle256_0032,0.1886,4.471,3.359,6.719,0.8662,111.6,
castlegate,256,castle256_0033,0.2338,4.988,3.697,7.394,0.8941,173.3,
castlegate,256,castle256_0034,0.2337,4.888,4.007,8.014,0.853,140.9,
castlegate,256,castle256_0035,0.2166,4.993,3.716,7.433,0.885,142.7,
castlegate,256,castle256_0036,0.2272,5.741,3.54,7.079,0.8597,149.2,
castlegate,256,castle256_0037,0.2304,4.47,4.024,8.048,0.8589,136.2,
castlegate,256,castle256_0038,0.188,4.983,3.239,6.477,0.9058,156.0,
castlegate,256,castle256_0039,0.213,5.183,3.565,7.13,0.8702,147.5,
castlegate,256,castle256_0040,0.2168,5.378,3.727,7.454,0.9047,145.8,
castlegate,256,castle256_0041,0.189,5.655,3.462,6.925,0.872,161.6,
castlegate,256,castle256_0042,0.2413,5.989,4.062,8.124,0.8962,137.7,
castlegate,256,castle256_0043,0.2014,4.575,3.533,7.065,0.8569,147.2,
castlegate,256,castle256_0044,0.2157,4.571,3.576,7.152,0.8789,146.9,
castlegate,256,castle256_0045,0.2196,5.093,3.539,7.077,0.8852,143.5,
castlegate,256,castle256_0046,0.2344,5.385,3.378,6.757,0.8668,168.8,
castlegate,256,castle256_0047,0.2006,4.111,3.604,7.208,0.8817,135.0,
castlegate,256,castle256_0048,0.2235,5.374,3.715,7.43,0.9069,122.5,
castlegate,256,castle256_0049,0.2311,5.994,4.011,8.023,0.8539,152.9,
castlegate,256,castle256_0050,0.2448,4.992,3.569,7.139,0.8682,158.5,
castlegate,256,castle256_0051,0.2392,6.155,3.637,7.275,0.8771,152.3,
castlegate,256,castle256_0052,0.1852,4.349,3.128,6.255,0.9473,166.7,
castlegate,256,castle256_0053,0.2335,5.097,3.562,7.123,0.8743,144.8,
castlegate,256,castle256_0054,0.1991,4.981,3.587,7.174,0.8737,162.0,
castlegate,256,castle256_0055,0.2277,5.381,3.641,7.283,0.8987,150.7,
castlegate,256,castle256_0056,0.252,6.151,4.101,8.202,0.8921,112.4,
castlegate,256,castle256_0057,0.22,5.377,3.603,7.207,0.8694,171.6,
castlegate,256,castle256_0058,0.2469,5.192,4.095,8.189,0.8808,144.4,
castlegate,256,castle256_0059,0.2115,5.089,3.596,7.193,0.8724,153.3,
castlegate,256,castle256_0060,0.2349,4.351,3.601,7.202,0.8929,143.2,
castlegate,256,castle256_0061,0.2368,5.091,3.674,7.349,0.8772,155.4,
castlegate,256,castle256_0062,0.219,4.579,4.017,8.034,0.8651,146.0,
castlegate,256,castle256_0063,0.2084,4.885,3.142,6.284,0.9096,158.8,
poly,128,poly128_0000,0.2677,5.648,4.069,8.137,0.9343,9.2,
poly,128,poly128_0001,0.2384,5.093,3.238,6.476,0.9216,8.9,
poly,128,poly128_0002,0.2842,5.188,4.113,8.225,0.8767,8.5,
poly,128,poly128_0003,0.3102,5.901,4.134,8.268,0.9399,8.7,
poly,128,poly128_0004,0.2086,4.578,4.033,8.066,0.8797,6.8,
poly,128,poly128_0005,0.2351,5.991,3.246,6.493,0.892,9.0,
poly,128,poly128_0006,0.2484,5.828,3.52,7.039,0.8741,7.6,
poly,128,poly128_0007,0.2455,7.273,4.074,8.148,0.8664,7.9,
poly,128,poly128_0008,0.2216,4.109,3.311,6.623,0.8839,11.1,
poly,128,poly128_0009,0.2458,6.163,4.004,8.007,0.8514,9.1,
poly,128,poly128_0010,0.2319,4.996,3.554,7.107,0.8739,9.6,
poly,128,poly128_0011,0.2464,4.681,4.011,8.022,0.8523,9.0,
poly,128,poly128_0012,0.2836,6.162,3.076,6.151,0.9211,12.6,
poly,128,poly128_0013,0.1747,3.313,3.146,6.292,0.9133,8.7,
poly,128,poly128_0014,0.2574,4.572,3.532,7.064,0.8545,9.0,
poly,128,poly128_0015,0.2878,5.818,4.215,8.431,0.8924,9.1,
poly,128,poly128_0016,0.2159,4.117,3.119,6.237,0.935,10.8,
poly,128,poly128_0017,0.1846,4.997,3.119,6.238,0.8835,9.9,
poly,128,poly128_0018,0.2963,4.233,3.246,6.492,0.9611,11.5,
poly,128,poly128_0019,0.2335,3.989,3.226,6.452,0.9602,11.3,
poly,128,poly128_0020,0.2141,5.178,3.58,7.159,0.8625,10.5,
poly,128,poly128_0021,0.1792,4.888,3.116,6.231,0.9182,9.2,
poly,128,poly128_0022,0.2508,6.547,4.035,8.069,0.9012,9.9,
poly,128,poly128_0023,0.2115,5.192,4.041,8.082,0.8936,8.3,
poly,128,poly128_0024,0.2481,4.465,4.082,8.164,0.8655,8.5,
poly,128,poly128_0025,0.1991,4.108,3.284,6.569,0.8528,9.2,
poly,128,poly128_0026,0.2926,7.996,4.266,8.532,0.8505,9.7,
poly,128,poly128_0027,0.2682,5.096,3.411,6.822,0.8539,11.2,
poly,128,poly128_0028,0.2737,5.739,4.011,8.023,0.8666,9.0,
poly,128,poly128_0029,0.2339,0.0,,,0.2516,11.3,
poly,128,poly128_0030,0.2674,4.686,3.581,7.162,0.9001,9.9,
poly,128,poly128_0031,0.2706,6.62,4.112,8.223,0.8725,8.6,
poly,128,poly128_0032,0.2319,4.998,4.077,8.154,0.9129,11.5,
poly,128,poly128_0033,0.2871,5.819,4.771,9.541,0.8526,11.2,
poly,128,poly128_0034,0.2225,5.828,4.058,8.116,0.8781,11.4,
poly,128,poly128_0035,0.2423,4.469,3.215,6.43,0.8869,13.4,
poly,128,poly128_0036,0.2583,4.99,4.126,8.252,0.8779,11.7,
poly,128,poly128_0037,0.2011,3.999,2.972,5.945,0.9111,13.8,
poly,128,poly128_0038,0.1838,2.987,3.022,6.043,0.89,13.4,
poly,128,poly128_0039,0.247,4.887,3.165,6.331,0.9268,13.2,
poly,128,poly128_0040,0.2465,4.676,4.094,8.188,0.917,12.1,
poly,128,poly128_0041,0.2543,5.372,4.196,8.391,0.9152,11.8,
poly,128,poly128_0042,0.2906,9.695,5.033,10.067,0.866,11.4,
poly,128,poly128_0043,0.2704,5.476,3.119,6.238,0.8937,12.8,
poly,128,poly128_0044,0.1968,3.154,3.067,6.135,0.9609,13.2,
poly,128,poly128_0045,0.2806,6.475,3.647,7.294,0.9025,12.5,
poly,128,poly128_0046,0.2752,6.395,4.097,8.195,0.8736,12.8,
poly,128,poly128_0047,0.2317,7.604,4.024,8.049,0.8749,11.9,
poly,128,poly128_0048,0.1501,4.118,3.006,6.012,0.8526,13.0,
poly,128,poly128_0049,0.1759,3.992,3.224,6.449,0.8983,11.8,
poly,128,poly128_0050,0.2098,5.097,3.342,6.683,0.8522,12.7,
poly,128,poly128_0051,0.2678,5.995,4.161,8.322,0.8911,11.8,
poly,128,poly128_0052,0.206,5.988,3.082,6.165,0.9473,13.6,
poly,128,poly128_0053,0.2338,4.23,3.514,7.029,0.8662,12.1,
poly,128,poly128_0054,0.2068,4.993,3.164,6.327,0.9579,13.6,
poly,128,poly128_0055,0.241,5.645,4.13,8.261,0.8881,11.5,
poly,128,poly128_0056,0.2402,5.907,3.677,7.353,0.8657,14.2,
poly,128,poly128_0057,0.3697,8.829,5.219,10.438,0.907,11.6,
poly,128,poly128_0058,0.2154,5.644,3.534,7.067,0.8514,12.8,
poly,128,poly128_0059,0.2326,4.228,4.032,8.064,0.8982,11.1,
poly,128,poly128_0060,0.2627,7.671,4.224,8.447,0.8876,12.0,
poly,128,poly128_0061,0.2547,5.467,4.04,8.08,0.87,11.3,
poly,128,poly128_0062,0.2415,5.83,2.176,4.353,0.9815,14.6,
poly,128,poly128_0063,0.2381,4.995,3.494,6.988,0.8537,12.6,
poly,256,poly256_0000,0.2697,8.046,4.619,9.238,0.8568,185.5,
poly,256,poly256_0001,0.2086,4.112,3.371,6.742,0.8739,183.1,
poly,256,poly256_0002,0.2826,6.55,5.038,10.076,0.8599,163.8,
poly,256,poly256_0003,0.2889,8.057,5.082,10.165,0.8731,153.9,
poly,256,poly256_0004,0.2369,5.097,4.111,8.222,0.9061,159.9,
poly,256,poly256_0005,0.2971,8.236,5.091,10.183,0.8701,153.5,
poly,256,poly256_0006,0.2423,5.47,4.364,8.728,0.8598,146.9,
poly,256,poly256_0007,0.2594,4.995,4.587,9.173,0.8547,108.1,
poly,256,poly256_0008,0.2171,6.398,3.602,7.204,0.9098,208.3,
poly,256,poly256_0009,0.2504,6.701,4.203,8.406,0.9064,171.4,
poly,256,poly256_0010,0.2365,4.982,4.105,8.21,0.9204,155.6,
poly,256,poly256_0011,0.2732,8.185,4.238,8.477,0.885,165.8,
poly,256,poly256_0012,0.2776,6.315,4.375,8.75,0.8804,160.8,
poly,256,poly256_0013,0.2411,5.992,4.185,8.37,0.8962,172.2,
poly,256,poly256_0014,0.2376,5.73,4.026,8.052,0.8585,134.8,
poly,256,poly256_0015,0.2599,4.993,4.156,8.312,0.8952,118.9,
poly,256,poly256_0016,0.2738,6.156,4.177,8.354,0.9156,191.9,
poly,256,poly256_0017,0.2487,6.474,4.132,8.264,0.9,176.0,
poly,256,poly256_0018,0.2618,5.991,4.018,8.036,0.8545,176.3,
poly,256,poly256_0019,0.2098,4.582,3.508,7.017,0.853,164.7,
poly,256,poly256_0020,0.249,5.377,4.149,8.299,0.908,172.2,
poly,256,poly256_0021,0.2076,5.093,3.239,6.478,0.896,180.3,
poly,256,poly256_0022,0.2477,6.315,4.037,8.073,0.8708,142.7,
poly,256,poly256_0023,0.2561,5.729,4.311,8.622,0.8521,97.8,
poly,256,poly256_0024,0.1998,4.354,3.562,7.123,0.8563,190.4,
poly,256,poly256_0025,0.2262,4.991,4.085,8.17,0.8723,158.1,
poly,256,poly256_0026,0.2624,7.989,4.144,8.288,0.8877,159.3,
poly,256,poly256_0027,0.2504,5.651,3.693,7.386,0.9052,172.6,
poly,256,poly256_0028,0.2237,5.739,4.315,8.631,0.8534,156.5,
poly,256,poly256_0029,0.2374,5.375,4.2,8.399,0.8988,164.4,
poly,256,poly256_0030,0.2463,4.995,4.108,8.216,0.8953,139.9,
poly,256,poly256_0031,0.3059,7.864,5.01,10.02,0.8527,123.1,
poly,256,poly256_0032,0.2493,5.814,4.289,8.579,0.8543,175.2,
poly,256,poly256_0033,0.248,5.829,4.244,8.488,0.9123,167.3,
poly,256,poly256_0034,0.2378,5.829,4.119,8.237,0.9023,172.4,
poly,256,poly256_0035,0.2234,5.737,4.135,8.27,0.8912,159.8,
poly,256,poly256_0036,0.2278,6.072,4.17,8.34,0.9124,167.5,
poly,256,poly256_0037,0.2491,7.606,4.191,8.383,0.9001,163.4,
poly,256,poly256_0038,0.2101,5.375,4.084,8.168,0.8896,135.1,
poly,256,poly256_0039,0.2414,6.472,4.502,9.003,0.8502,118.8,
poly,256,poly256_0040,0.2665,6.402,5.101,10.202,0.8684,103.3,
poly,256,poly256_0041,0.233,5.368,3.643,7.286,0.869,106.1,
poly,256,poly256_0042,0.2607,5.458,4.189,8.377,0.9207,98.9,
poly,256,poly256_0043,0.2565,5.824,4.239,8.477,0.9185,92.5,
poly,256,poly256_0044,0.2088,4.997,4.026,8.052,0.869,90.8,
poly,256,poly256_0045,0.2828,7.127,5.004,10.009,0.8519,79.8,
poly,256,poly256_0046,0.2747,5.817,4.167,8.335,0.9186,96.4,
poly,256,poly256_0047,0.2589,6.998,4.555,9.11,0.8523,89.5,
poly,256,poly256_0048,0.2313,5.463,3.541,7.083,0.8632,111.1,
poly,256,poly256_0049,0.2121,5.737,4.095,8.19,0.8907,95.3,
poly,256,poly256_0050,0.2387,4.997,4.316,8.633,0.8581,90.7,
poly,256,poly256_0051,0.2465,5.823,4.278,8.556,0.8515,88.7,
poly,256,poly256_0052,0.2328,5.996,4.278,8.556,0.8717,92.2,
poly,256,poly256_0053,0.217,5.095,4.108,8.217,0.9007,92.8,
poly,256,poly256_0054,0.2137,5.193,3.596,7.191,0.8669,93.9,
poly,256,poly256_0055,0.2701,6.394,4.213,8.425,0.906,96.0,
poly,256,poly256_0056,0.2709,5.997,4.428,8.856,0.858,106.4,
poly,256,poly256_0057,0.2757,6.397,4.22,8.441,0.9198,94.7,
poly,256,poly256_0058,0.2038,4.991,3.327,6.655,0.8883,106.5,
poly,256,poly256_0059,0.2542,5.188,4.25,8.5,0.9133,97.6,
poly,256,poly256_0060,0.2722,6.63,5.024,10.048,0.856,87.9,
poly,256,poly256_0061,0.2674,7.672,4.399,8.798,0.8594,103.5,
poly,256,poly256_0062,0.2339,4.996,3.732,7.463,0.9222,98.4,
poly,256,poly256_0063,0.2486,5.384,4.379,8.758,0.8556,85.7,
sphere,128,sphere128_0000,0.2888,7.338,4.364,8.729,0.8518,8.9,
sphere,128,sphere128_0001,0.308,6.387,5.45,10.9,0.8983,7.6,
sphere,128,sphere128_0002,0.2039,9.203,5.075,10.151,0.8618,6.7,
sphere,128,sphere128_0003,0.2984,5.738,5.08,10.16,0.9099,10.3,
sphere,128,sphere128_0004,0.1851,3.737,,,0.8414,13.7,
sphere,128,sphere128_0005,0.2439,7.346,4.248,8.496,0.9161,9.1,
sphere,128,sphere128_0006,0.2989,7.992,5.582,11.163,0.9207,7.8,
sphere,128,sphere128_0007,0.2356,2.996,3.061,6.123,0.956,9.2,
sphere,128,sphere128_0008,0.2391,3.31,3.13,6.26,0.947,10.6,
sphere,128,sphere128_0009,0.2863,4.895,4.785,9.569,0.8928,9.1,
sphere,128,sphere128_0010,0.2832,7.866,5.09,10.181,0.8693,8.3,
sphere,128,sphere128_0011,0.3155,5.994,6.058,12.115,0.8994,9.0,
sphere,128,sphere128_0012,0.2741,5.384,3.496,6.991,0.9035,11.3,
sphere,128,sphere128_0013,0.2149,3.602,3.108,6.216,0.909,10.8,
sphere,128,sphere128_0014,0.2115,7.066,3.612,7.224,0.9154,11.2,
sphere,128,sphere128_0015,0.2796,12.441,5.239,10.479,0.8862,9.4,
sphere,128,sphere128_0016,0.2108,5.372,3.6,7.201,0.9119,9.8,
sphere,128,sphere128_0017,0.2353,3.147,3.016,6.032,0.8806,9.8,
sphere,128,sphere128_0018,0.1933,4.997,4.004,8.009,0.8571,8.7,
sphere,128,sphere128_0019,0.2121,6.99,4.519,9.038,0.856,8.9,
sphere,128,sphere128_0020,0.253,4.992,5.001,10.002,0.8521,7.9,
sphere,128,sphere128_0021,0.277,7.539,4.475,8.949,0.8796,8.2,
sphere,128,sphere128_0022,0.2989,8.988,6.433,12.866,0.8735,9.5,
sphere,128,sphere128_0023,0.2257,4.898,3.279,6.557,0.8511,11.3,
sphere,128,sphere128_0024,0.2504,5.903,4.021,8.042,0.8557,10.5,
sphere,128,sphere128_0025,0.1855,3.151,3.002,6.004,0.8527,9.7,
sphere,128,sphere128_0026,0.2942,8.997,6.159,12.318,0.8614,8.1,
sphere,128,sphere128_0027,0.2852,6.308,5.434,10.868,0.8944,8.3,
sphere,128,sphere128_0028,0.2519,7.27,3.449,6.897,0.9365,10.3,
sphere,128,sphere128_0029,0.1771,3.734,3.304,6.608,0.8513,9.0,
sphere,128,sphere128_0030,0.2627,3.16,3.076,6.153,0.9729,13.4,
sphere,128,sphere128_0031,0.2631,6.991,5.194,10.389,0.8797,10.9,
sphere,128,sphere128_0032,0.26,7.133,4.205,8.41,0.9377,9.0,
sphere,128,sphere128_0033,0.2417,3.993,3.586,7.172,0.893,9.8,
sphere,128,sphere128_0034,0.1576,3.996,3.683,7.366,0.883,8.4,
sphere,128,sphere128_0035,0.2049,5.186,4.016,8.031,0.8543,8.7,
sphere,128,sphere128_0036,0.2838,6.312,3.237,6.473,0.9002,10.5,
sphere,128,sphere128_0037,0.1701,3.999,3.054,6.108,0.9347,9.8,
sphere,128,sphere128_0038,0.2093,3.598,3.532,7.064,0.9361,10.7,
sphere,128,sphere128_0039,0.2522,6.989,4.09,8.179,0.9308,11.7,
sphere,128,sphere128_0040,0.2697,6.318,4.187,8.373,0.9032,10.5,
sphere,128,sphere128_0041,0.2857,4.995,4.034,8.069,0.8826,9.7,
sphere,128,sphere128_0042,0.1632,0.0,,,0.5072,11.5,
sphere,128,sphere128_0043,0.2736,8.995,5.162,10.324,0.8745,10.0,
sphere,128,sphere128_0044,0.1934,3.995,3.677,7.354,0.8966,8.6,
sphere,128,sphere128_0045,0.1903,3.155,3.081,6.163,0.9468,11.5,
sphere,128,sphere128_0046,0.2295,4.992,4.014,8.027,0.8533,10.5,
sphere,128,sphere128_0047,0.218,5.999,3.63,7.259,0.9119,11.4,
sphere,128,sphere128_0048,0.205,5.733,3.333,6.666,0.8592,10.1,
sphere,128,sphere128_0049,0.2063,4.108,,,0.5208,12.1,
sphere,128,sphere128_0050,0.3007,7.793,5.548,11.095,0.8677,7.7,
sphere,128,sphere128_0051,0.2325,10.992,5.226,10.453,0.8717,9.3,
sphere,128,sphere128_0052,0.2889,4.989,4.09,8.179,0.8703,11.8,
sphere,128,sphere128_0053,0.2268,3.599,3.132,6.263,0.9403,10.9,
sphere,128,sphere128_0054,0.1846,6.996,3.71,7.421,0.9076,12.3,
sphere,128,sphere128_0055,0.2368,4.582,4.12,8.239,0.8769,9.0,
sphere,128,sphere128_0056,0.2197,5.656,2.393,4.786,0.9324,11.6,
sphere,128,sphere128_0057,0.2106,3.999,4.026,8.052,0.9305,7.7,
sphere,128,sphere128_0058,0.2877,6.629,4.104,8.209,0.901,11.3,
sphere,128,sphere128_0059,0.2411,4.684,4.077,8.154,0.9428,12.1,
sphere,128,sphere128_0060,0.2671,6.99,3.728,7.456,0.9414,11.3,
sphere,128,sphere128_0061,0.177,2.225,2.166,4.332,0.9503,12.6,
sphere,128,sphere128_0062,0.1796,4.988,3.417,6.835,0.8541,11.1,
sphere,128,sphere128_0063,0.2012,3.999,3.197,6.394,0.9099,9.7,
sphere,256,sphere256_0000,0.2901,6.157,5.202,10.404,0.8973,98.4,
sphere,256,sphere256_0001,0.3103,7.54,5.468,10.937,0.8926,118.0,
sphere,256,sphere256_0002,0.193,4.114,4.039,8.079,0.9369,112.1,
sphere,256,sphere256_0003,0.2911,8.994,6.29,12.58,0.8774,90.9,
sphere,256,sphere256_0004,0.1963,5.73,4.045,8.089,0.868,100.4,
sphere,256,sphere256_0005,0.2421,8.111,5.034,10.068,0.8728,123.1,
sphere,256,sphere256_0006,0.2823,8.994,5.803,11.606,0.8718,104.5,
sphere,256,sphere256_0007,0.2335,4.995,4.077,8.154,0.891,108.8,
sphere,256,sphere256_0008,0.2349,4.243,3.596,7.191,0.8732,96.3,
sphere,256,sphere256_0009,0.2989,8.59,5.974,11.948,0.8603,106.0,
sphere,256,sphere256_0010,0.2976,6.7,5.269,10.538,0.859,100.8,
sphere,256,sphere256_0011,0.3181,9.474,6.354,12.707,0.87,102.8,
sphere,256,sphere256_0012,0.2826,5.995,4.224,8.448,0.9209,102.0,
sphere,256,sphere256_0013,0.2298,4.988,3.434,6.868,0.8746,118.2,
sphere,256,sphere256_0014,0.2114,5.991,5.015,10.03,0.8539,119.1,
sphere,256,sphere256_0015,0.2955,9.897,7.058,14.116,0.8615,89.1,
sphere,256,sphere256_0016,0.2159,6.699,4.238,8.477,0.9195,102.6,
sphere,256,sphere256_0017,0.2356,6.991,4.004,8.009,0.8546,100.0,
sphere,256,sphere256_0018,0.1999,6.475,3.694,7.389,0.8624,112.3,
sphere,256,sphere256_0019,0.2096,6.987,4.125,8.249,0.9032,120.0,
sphere,256,sphere256_0020,0.2458,8.993,5.19,10.379,0.9206,97.9,
sphere,256,sphere256_0021,0.2768,6.708,4.957,9.914,0.864,107.1,
sphere,256,sphere256_0022,0.3038,12.565,6.696,13.393,0.8551,127.3,
sphere,256,sphere256_0023,0.2274,5.477,4.035,8.07,0.8925,100.1,
sphere,256,sphere256_0024,0.269,5.652,4.078,8.156,0.9059,118.4,
sphere,256,sphere256_0025,0.1805,3.726,3.132,6.263,0.9293,114.1,
sphere,256,sphere256_0026,0.2987,7.992,6.418,12.836,0.8779,104.8,
sphere,256,sphere256_0027,0.2853,7.344,6.076,12.151,0.8586,94.2,
sphere,256,sphere256_0028,0.2541,9.997,5.086,10.171,0.8668,99.6,
sphere,256,sphere256_0029,0.1877,4.228,3.235,6.47,0.9091,113.3,
sphere,256,sphere256_0030,0.2795,9.0,5.068,10.135,0.8586,102.5,
sphere,256,sphere256_0031,0.2644,7.995,5.858,11.715,0.8634,98.9,
sphere,256,sphere256_0032,0.2687,9.264,5.233,10.467,0.8902,129.8,
sphere,256,sphere256_0033,0.2459,6.541,4.178,8.356,0.9076,109.9,
sphere,256,sphere256_0034,0.1793,3.995,3.036,6.073,0.8578,121.8,
sphere,256,sphere256_0035,0.2072,5.468,3.222,6.444,0.8956,124.1,
sphere,256,sphere256_0036,0.2959,6.155,5.011,10.021,0.8533,95.0,
sphere,256,sphere256_0037,0.1789,5.09,3.474,6.947,0.9001,108.5,
sphere,256,sphere256_0038,0.2282,6.157,5.045,10.09,0.8688,96.1,
sphere,256,sphere256_0039,0.2677,7.058,5.238,10.477,0.8953,107.8,
sphere,256,sphere256_0040,0.2728,7.674,4.628,9.257,0.8554,129.5,
sphere,256,sphere256_0041,0.287,6.395,4.511,9.022,0.8516,107.3,
sphere,256,sphere256_0042,0.1544,3.728,3.012,6.024,0.8589,107.8,
sphere,256,sphere256_0043,0.2855,6.557,5.077,10.154,0.8648,105.6,
sphere,256,sphere256_0044,0.2079,5.996,4.284,8.569,0.8515,110.0,
sphere,256,sphere256_0045,0.2016,6.163,4.344,8.688,0.8653,115.0,
sphere,256,sphere256_0046,0.2457,6.4,4.563,9.126,0.8617,112.3,
sphere,256,sphere256_0047,0.2308,5.742,5.079,10.157,0.8791,96.5,
sphere,256,sphere256_0048,0.2215,4.997,3.583,7.166,0.8587,113.5,
sphere,256,sphere256_0049,0.2055,6.154,4.247,8.494,0.9162,134.0,
sphere,256,sphere256_0050,0.3138,6.985,6.232,12.465,0.8661,102.4,
sphere,256,sphere256_0051,0.2136,5.993,5.377,10.754,0.8667,100.6,
sphere,256,sphere256_0052,0.3036,9.108,6.138,12.276,0.87,105.5,
sphere,256,sphere256_0053,0.2424,5.188,4.023,8.046,0.8676,114.5,
sphere,256,sphere256_0054,0.19,6.551,4.226,8.452,0.8981,122.6,
sphere,256,sphere256_0055,0.2357,5.822,4.106,8.213,0.9188,109.2,
sphere,256,sphere256_0056,0.231,6.315,4.568,9.136,0.8538,105.5,
sphere,256,sphere256_0057,0.2135,5.378,5.253,10.506,0.856,93.3,
sphere,256,sphere256_0058,0.2863,9.688,5.796,11.592,0.8513,97.4,
sphere,256,sphere256_0059,0.2386,6.557,4.171,8.342,0.9349,125.9,
sphere,256,sphere256_0060,0.2572,8.656,5.047,10.093,0.858,110.7,
sphere,256,sphere256_0061,0.1907,4.688,3.713,7.427,0.9181,122.2,
sphere,256,sphere256_0062,0.1735,4.898,3.222,6.445,0.9227,112.9,
sphere,256,sphere256_0063,0.2118,4.987,3.584,7.169,0.899,86.0,
